WeightingMethod,Seed,Vertices,Sparsity,WeightMin,WeightMax,NrOfCliques,SizeOfClique,NrOfCommRounds,TotalTime,RoundTimes1,RoundTimes2,RoundTimes3
UNIQUE_REVERSED,101,500,0.8,1,100,0,0,3,178.35,166.27,5.97,5.96
UNIQUE_REVERSED,101,500,0.8,1,100,50,5,3,189.21,176.48,6.35,6.2
UNIQUE_REVERSED,101,500,0.8,1,100,100,5,3,184.26,171.93,6.43,5.75
UNIQUE_REVERSED,101,500,0.8,1,100,200,5,2,148.5,142.1,6.2,
UNIQUE_REVERSED,101,500,1,1,100,0,0,3,298.07,282.72,7.55,7.62
UNIQUE_REVERSED,101,500,1,1,100,50,5,3,313.07,300.16,6.38,6.35
UNIQUE_REVERSED,101,500,1,1,100,100,5,3,285.03,273.09,5.86,5.85
UNIQUE_REVERSED,101,500,1,1,100,200,5,2,293.19,286.34,6.62,
INCIDENT_EDGES_THE_SAME,101,500,0.2,1,100,0,0,2,20.41,14.17,6.19,
INCIDENT_EDGES_THE_SAME,101,500,0.2,1,100,50,5,2,18.34,11.97,6.32,
INCIDENT_EDGES_THE_SAME,101,500,0.2,1,100,100,5,2,19.12,12.65,6.4,
INCIDENT_EDGES_THE_SAME,101,500,0.2,1,100,200,5,2,20.5,13.55,6.75,
INCIDENT_EDGES_THE_SAME,101,500,0.4,1,100,0,0,2,36.84,30.81,5.94,
INCIDENT_EDGES_THE_SAME,101,500,0.4,1,100,50,5,2,41.25,34.7,6.47,
INCIDENT_EDGES_THE_SAME,101,500,0.4,1,100,100,5,2,44.71,38.01,6.56,
INCIDENT_EDGES_THE_SAME,101,500,0.4,1,100,200,5,2,41.96,34.56,7.21,
INCIDENT_EDGES_THE_SAME,101,500,0.6,1,100,0,0,2,112.41,105.26,6.95,
INCIDENT_EDGES_THE_SAME,101,500,0.6,1,100,50,5,2,71.18,65.23,5.83,
INCIDENT_EDGES_THE_SAME,101,500,0.6,1,100,100,5,2,71.48,65.59,5.72,
INCIDENT_EDGES_THE_SAME,101,500,0.6,1,100,200,5,2,71.24,65.25,5.76,
INCIDENT_EDGES_THE_SAME,101,500,0.8,1,100,0,0,3,154.34,142.82,5.76,5.62
INCIDENT_EDGES_THE_SAME,101,500,0.8,1,100,50,5,3,155.73,144.29,5.75,5.55
INCIDENT_EDGES_THE_SAME,101,500,0.8,1,100,100,5,3,350.61,331.48,9.24,9.65
INCIDENT_EDGES_THE_SAME,101,500,0.8,1,100,200,5,2,280.81,272.02,8.4,
INCIDENT_EDGES_THE_SAME,101,500,1,1,100,0,0,3,325.66,313.49,6.18,5.74
INCIDENT_EDGES_THE_SAME,101,500,1,1,100,50,5,3,458.48,442.84,8.02,7.41
