SamplingMethod,DatasetType,NrOfPoints,Seed,SampleSize,TotalTime,RoundTimes,CoresetSize,AvgQuality,NormQuality
Ball,Noisy circle,1000000,101,100000.0,764.58,"[9.56, 9.53, 10.25, 13.98]",743817,1.465218334493502,0.7328686739559956
Grid,Noisy moon,1000000,101,0,749.35,"[9.83, 7.76, 7.23, 7.24]",5,2.170173973882809,2.55734151868765
Ball,Noisy moon,1000000,101,100.0,748.52,"[9.38, 7.73, 7.17, 7.28]",101,2.444620719260318,0.9740675763058294
Ball,Noisy moon,1000000,101,1000.0,750.96,"[9.35, 7.83, 7.73, 7.3]",1001,2.400193603585247,0.7015131085235313
Ball,Noisy moon,1000000,101,10000.0,749.92,"[9.32, 8.16, 7.59, 7.21]",20088,2.195070466833335,0.5561081567408239
Ball,Noisy moon,1000000,101,100000.0,760.96,"[9.67, 9.24, 10.07, 13.98]",809066,1.686988786367579,2.2563119096209263
Grid,Blobs,1000000,101,0,751.79,"[10.16, 7.46, 7.21, 7.25]",4,41.792000282920384,37.52909532856543
Ball,Blobs,1000000,101,100.0,750.3,"[9.58, 7.62, 7.25, 7.29]",101,32.72918333386276,32.672649830657214
Ball,Blobs,1000000,101,1000.0,755.65,"[9.65, 7.48, 7.22, 7.29]",2005,33.76317762112644,33.57707735733558
Ball,Blobs,1000000,101,10000.0,753.03,"[9.77, 8.2, 7.75, 7.51]",53827,33.509244759536166,2.046735283756842
Ball,Blobs,1000000,101,100000.0,766.87,"[9.75, 9.4, 10.09, 14.5]",955818,33.25257775212735,12.81496444348068
Grid,Aniso,1000000,101,0,757.74,"[10.08, 7.9, 7.35, 7.26]",9,14.073911129630453,4.384947224289267
Ball,Aniso,1000000,101,100.0,753.64,"[9.47, 7.7, 7.48, 7.15]",101,12.966623131376515,5.861180136566147
Ball,Aniso,1000000,101,1000.0,752.71,"[9.39, 7.73, 7.36, 7.35]",1680,12.708578381630693,10.553906793702035
Ball,Aniso,1000000,101,10000.0,758.21,"[9.58, 8.85, 8.24, 7.61]",161205,8.940636616040655,1.6144771567592657
Ball,Aniso,1000000,101,100000.0,763.34,"[9.61, 9.29, 10.36, 14.34]",972129,8.444795830184415,0.7108016014882078
Grid,varied,1000000,101,0,755.25,"[10.4, 8.01, 7.65, 7.49]",3875,17.14227427366522,0.1572928071556186
Ball,varied,1000000,101,100.0,759.15,"[9.98, 8.77, 7.58, 7.27]",8860,19.060535175089687,8.944257317575499
Ball,varied,1000000,101,1000.0,755.46,"[10.01, 8.09, 7.63, 7.57]",45012,18.54633239590676,2.3871976301287314
Ball,varied,1000000,101,10000.0,764.11,"[9.82, 8.42, 8.72, 10.0]",460190,17.27400357395838,15.360138428996303
Ball,varied,1000000,101,100000.0,770.18,"[10.02, 9.35, 11.12, 14.29]",1000000,16.905770168798618,14.295520148990695
Grid,Gaussian quantile,1000000,101,0,760.36,"[10.31, 8.05, 7.54, 7.23]",55,4.865644045902418,2.8636997128202792
Ball,Gaussian quantile,1000000,101,100.0,756.34,"[9.54, 8.26, 7.49, 7.34]",103,8.408100618784099,4.957010597198447
Ball,Gaussian quantile,1000000,101,1000.0,754.58,"[9.43, 7.94, 7.56, 7.35]",4155,7.351277219397976,4.782128431922285
Ball,Gaussian quantile,1000000,101,10000.0,762.66,"[9.32, 9.04, 8.65, 8.37]",167039,5.51473782134643,3.3250613755267135
Ball,Gaussian quantile,1000000,101,100000.0,766.65,"[9.68, 9.55, 10.09, 14.45]",978745,4.903047076679766,3.284352434764632
Grid,Noisy circle,200000,102,0,34.23,"[7.91, 7.58, 7.21, 7.26]",4,2.0622935319691944,1.585557179264906
Ball,Noisy circle,200000,102,20.0,34.05,"[7.84, 7.28, 7.3, 7.23]",21,1.5819062961784425,0.6176117367752159
Ball,Noisy circle,200000,102,200.0,34.39,"[7.99, 7.55, 7.3, 7.26]",201,1.4922304778389486,0.5045179818651172
Ball,Noisy circle,200000,102,2000.0,34.51,"[7.8, 7.76, 7.36, 7.23]",3304,1.4003392754150346,1.5480490731840737
Ball,Noisy circle,200000,102,20000.0,34.98,"[7.88, 7.61, 7.68, 7.51]",142124,1.3286202780662704,1.5443436642440564
Grid,Noisy moon,200000,102,0,34.65,"[8.12, 7.56, 7.3, 7.34]",3,2.4135181244470627,1.636376324056432
Ball,Noisy moon,200000,102,20.0,34.28,"[7.85, 7.44, 7.34, 7.29]",21,2.3253780877528203,0.9684305604893406
Ball,Noisy moon,200000,102,200.0,34.08,"[7.66, 7.36, 7.36, 7.35]",201,2.531743604548282,0.8334114389548393
Ball,Noisy moon,200000,102,2000.0,34.16,"[7.73, 7.5, 7.28, 7.28]",2968,1.8413461059049014,0.5143298141655626
Ball,Noisy moon,200000,102,20000.0,35.13,"[7.84, 7.69, 7.55, 7.59]",185118,1.8515217139358873,2.1428293824934004
Grid,Blobs,200000,102,0,34.42,"[7.86, 7.49, 7.31, 7.33]",6,38.262859439747835,5.1522648857182585
Ball,Blobs,200000,102,20.0,34.08,"[7.72, 7.32, 7.3, 7.29]",21,33.48885315910582,32.806685961130775
Ball,Blobs,200000,102,200.0,34.11,"[7.72, 7.43, 7.26, 7.29]",347,33.42675422676472,30.512933703443043
Ball,Blobs,200000,102,2000.0,34.4,"[7.8, 7.44, 7.34, 7.37]",9927,32.377149724355114,29.74303194710405
Ball,Blobs,200000,102,20000.0,35.02,"[7.75, 7.75, 7.62, 7.63]",164015,32.13472193894827,29.393169129530193
Grid,Aniso,200000,102,0,34.65,"[8.1, 7.66, 7.35, 7.21]",11,11.938730560653127,10.670692749960397
Ball,Aniso,200000,102,20.0,34.26,"[7.66, 7.61, 7.34, 7.27]",21,13.180484787939973,7.189545721013784
Ball,Aniso,200000,102,200.0,34.69,"[7.77, 7.79, 7.39, 7.23]",201,12.916984031048807,3.9308728928564043
Ball,Aniso,200000,102,2000.0,34.48,"[7.75, 7.55, 7.44, 7.34]",23810,9.343752664717142,8.938912787116728
