SamplingMethod,DatasetType,NrOfPoints,Seed,SampleSize,TotalTime,RoundTimes,CoresetSize,AvgQuality,NormQuality
Ball,varied,1500,102,15.0,29.64,"[7.26, 7.19, 7.69, 7.34]",199,18.203229413606703,1.3597634902681242
Ball,varied,1500,102,150.0,29.08,"[7.24, 7.25, 7.28, 7.16]",1353,17.774140871845848,1.3302991001607167
Grid,Gaussian quantile,1500,102,0,29.36,"[7.33, 7.34, 7.31, 7.24]",283,4.073630520374615,1.216872032801979
Ball,Gaussian quantile,1500,102,1.5,28.93,"[7.12, 7.2, 7.27, 7.19]",3,7.7036785905203145,5.856209105246622
Ball,Gaussian quantile,1500,102,15.0,29.28,"[7.27, 7.31, 7.3, 7.24]",68,5.3535530283999435,4.332864441196182
Ball,Gaussian quantile,1500,102,150.0,29.49,"[7.31, 7.32, 7.47, 7.25]",1228,5.518949962427993,3.7732572816887897
Grid,Noisy circle,10000,102,0,29.62,"[7.4, 7.31, 7.37, 7.31]",6,1.371641374878351,0.779732405667595
Ball,Noisy circle,10000,102,10.0,29.37,"[7.36, 7.28, 7.28, 7.23]",12,1.6502182091051734,1.274101673312908
Ball,Noisy circle,10000,102,100.0,29.3,"[7.33, 7.39, 7.21, 7.14]",103,1.6941701787849586,1.2793291186329452
Ball,Noisy circle,10000,102,1000.0,29.59,"[7.31, 7.37, 7.39, 7.3]",6260,1.5402974435687324,1.4177901604637755
Grid,Noisy moon,10000,102,0,29.53,"[7.49, 7.31, 7.3, 7.21]",4,2.1624885659894666,2.493313654873734
Ball,Noisy moon,10000,102,10.0,29.39,"[7.32, 7.27, 7.35, 7.22]",11,2.323355268384656,2.4290297702704216
Ball,Noisy moon,10000,102,100.0,29.49,"[7.43, 7.36, 7.24, 7.25]",136,2.0911085137043908,2.5549857798057607
Ball,Noisy moon,10000,102,1000.0,29.3,"[7.3, 7.34, 7.17, 7.25]",7876,2.224258920181107,2.5859980630083292
Grid,Blobs,10000,102,0,29.5,"[7.4, 7.27, 7.23, 7.36]",54,32.786084066253586,22.84939158451296
Ball,Blobs,10000,102,10.0,29.15,"[7.31, 7.21, 7.16, 7.25]",11,32.33299690993731,12.403772018052509
Ball,Blobs,10000,102,100.0,29.47,"[7.38, 7.28, 7.27, 7.33]",338,32.69156544581862,23.330182714979525
Ball,Blobs,10000,102,1000.0,29.34,"[7.39, 7.26, 7.23, 7.24]",8800,32.790921962924806,22.519696847365168
Grid,Aniso,10000,102,0,29.51,"[7.46, 7.34, 7.24, 7.24]",61,8.502067361158725,7.558587615974661
Ball,Aniso,10000,102,10.0,29.39,"[7.32, 7.23, 7.33, 7.29]",11,11.811802952417528,9.77956794369999
Ball,Aniso,10000,102,100.0,29.65,"[7.31, 7.32, 7.42, 7.39]",520,10.504534151401147,8.545370549356997
